portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name
atlanta-families,2026-02-20,Forefront Arts Theatre Camp,Featured Day Camps,day,"Calling all kids and teens who love the spotlight! One-week theatre camps including K Pop Campers, Wicked, Harry Potter, Tangled, Marvel, Hamilton, Zootopia, Puppetry, Descendants & Zombies, Newsies, High School Musical and Percy Jackson! Full-day camps for ages 5-16, plus Counselor-In-Training and Internship programs. 13 locations. June 1-July 31",https://www.atlantaparent.com/directory/16053/forefront-arts-performance-camp/,Atlanta Parent
atlanta-families,2026-02-20,ITP Training Academy Racquet Camps,Featured Day Camps,day,"ITP camps deliver a fun, well-rounded racquet experience featuring tennis, pickleball and padel at one convenient facility. Racquet Camp (ages 8+) emphasizes skill development and match play; Day Camp (ages 5-7) combines racquet sports with creative activities, games and character building. June 1-July 31",https://www.atlantaparent.com/directory/68533/itp-atlanta-kids-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,Marist School Summer Camps,Featured Day Camps,day,"Marist is made for unforgettable summers! The ones that plunge kids deep into new experiences that unleash curiosity, teach new skills, and amplify talents. Tackle sports. Explore the arts. Compose music for video games. Marist Summer Camps give kids a place to shine. June 1-July 31",https://www.atlantaparent.com/directory/16506/marist-school-2/,Atlanta Parent
atlanta-families,2026-02-20,MJCCA Day Camps,Featured Day Camps,day,"At MJCCA Day Camps, campers make lifelong friendships, try something new and have the best summer ever! The possibilities for an amazing summer are endless with theme, sports, performing arts, teen and traditional camps for kids in rising Pre-K-9th grade. May 26-July 31",https://www.atlantaparent.com/directory/16287/marcus-jewish-community-center-atlanta-mjcca-summer-day-camps/,Atlanta Parent
atlanta-families,2026-02-20,MODA Design Camps,Featured Day Camps,day,"Get ready for an unforgettable summer! Young creators ages 6-18 dive into hands-on experiences that ignite imagination, inspire innovation and build a better world. Whether they’re building with LEGO®, designing future cities, or reimagining Atlanta’s neighborhoods, kids and teens explore the power of design in fun and meaningful ways. June 1-July 24",https://www.atlantaparent.com/directory/60961/moda-museum-of-design-atlanta/,Atlanta Parent
atlanta-families,2026-02-20,Mount Paran Christian School,Featured Day Camps,day,"Plan your summer fun at MPCS! Academic, arts, athletic and, “faith and fun” camps. From fishing and photography, to football or engineering, your child can experience it all. Full-day, Afternoon Adventures, Dude Perfect Camp, or Pickleball are just a few of the more than 140+ summer programs offered in a Christ-centered environment. June 1-July 17",https://www.atlantaparent.com/directory/9190/mount-paran-christian-school?p=9190,Atlanta Parent
atlanta-families,2026-02-20,North Cobb Christian School,Featured Day Camps,day,"Your child is unique, and their summer should be, too. Choose a customized camp program where your child can dive deep into areas of interest, or have a blast at NCCS’s weekly high-energy Camp Eagle – within a nurturing Christian school environment. June 1-July 17",https://www.atlantaparent.com/directory/51494/north-cobb-christian-school-summer-camps-2/,Atlanta Parent
atlanta-families,2026-02-20,OMNI International School Summer Camp,Featured Day Camps,day,"Academic enrichment blended with hands-on, theme-based experiences, keeping students engaged and curious. Full-day sessions strengthen skills in students’ target language, math and ELA, while diving into exciting weekly STEAM-inspired themes. Each week builds on the next, so learning builds on knowledge and continues without feeling like school. June 8-July 17",https://www.atlantaparent.com/directory/66307/omni-international-school-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,Pace Academy,Featured Day Camps,day,"The Adventure Begins Here! Camps for K-12th grade for Pace students and students from other schools. Camp options include academic, athletic, STEAM, visual/ performing arts and specialty programs! Driver’s Education, SSAT, Baby Sitters Club camps and workshops are available for older students. June 1-July 17",https://www.atlantaparent.com/directory/16300/pace-academy-summer-programs/,Atlanta Parent
atlanta-families,2026-02-20,Trinity School Summer Camp,Featured Day Camps,day,"Embark on an unforgettable adventure at Trinity School Summer Camp! Designed for children ages 4 to 13, weekly camps offer a mix of academic, specialty and sports activities. Campers can experience outdoor exploration, art, basketball, LEGO building, soccer, computer games and much, much more. June 1-26 and July 27-31",https://www.atlantaparent.com/directory/16546/trinity-school-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,The Walker School Summer Programs,Featured Day Camps,day,Walker Summer Programs are the best way to spend your summer! Offering an extensive and diverse selection of enrichment opportunities for students ages 3-14. Half-day and full-day options available weekly. Early drop-off and extended care are available. June 1-July 24,https://www.atlantaparent.com/directory/16323/walker-school-summer-programs/,Atlanta Parent
atlanta-families,2026-02-20,Wesleyan School,Featured Day Camps,day,"Wesleyan Summer Camps make summers fun for all children ages 3-14! Day camps have fun weekly themes, with structured activities and free time for outdoor activities, arts and crafts, and games. Enrichment, athletic, academic and fine arts camps are available in a wide range of options. June 2-July 18",https://www.atlantaparent.com/directory/29618/wesleyan-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,Woodward Academy,Featured Day Camps,day,"With over 200 offerings, Woodward Academy Camps offer scholars, athletes and artists an array of enrichment, athletic, academic, and activity camps on two campuses in College Park and Johns Creek. Camps are open to the public and are accessible through an exceptional bus system. May 26-July 24",https://www.atlantaparent.com/directory/16327/woodward-academy-2/,Atlanta Parent
atlanta-families,2026-02-20,Zoo Atlanta Summer Safari Camp,Featured Day Camps,day,"Join Zoo Atlanta for an exploration of all things wild! Summer Safari Camp is the perfect experience for children ages 5-14. From Zoo explorations and scientific investigations, young explorers will be immersed in hands-on learning while having fun and meeting friends! Each week campers embark on a different Zoo expedition, exploring wildlife and wild places. May 26 – July 31",https://www.atlantaparent.com/directory/9163/safari-day-camp-zoo-atlanta/,Atlanta Parent
atlanta-families,2026-02-20,Adventure Camp at MHHE,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Summer programs for rising 1st through 5th graders at KSU. Themes include Time Travelers, Around the World, Theatre and Mystery of History",https://www.atlantaparent.com/directory/68582/adventure-academy-mhhe/,Atlanta Parent
atlanta-families,2026-02-20,Biz4Youth,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Ages 8–16 learn the fundamentals of entrepreneurship through fun hands-on activities, guided collaboration and real-world problem solving. June 6-10 and July 20-24",https://www.atlantaparent.com/directory/65457/biz4youth/,Atlanta Parent
atlanta-families,2026-02-20,DiscoverU at Kennesaw State University,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Explore careers, gain real-world skills and experience campus life in a fun, hands-on summer program for ages 14-18. June 1-July 24",https://www.atlantaparent.com/directory/72590/discoveru-summer-programs/,Atlanta Parent
atlanta-families,2026-02-20,Fusion Academy Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Middle school enrichment programs and high school virtual experiences offer options for students to catch up, get ahead, or try something new",https://www.atlantaparent.com/directory/69214/fusion-academy-camps/,Atlanta Parent
atlanta-families,2026-02-20,The Howard School Summer Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Weeklong camps for K-12th grade will develop student’s math, reading, speaking, and motor skills while keeping it engaging and fun",https://www.atlantaparent.com/directory/69436/the-howard-school-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,Squirrel Hollow Camp at the Bedford School,Academic and Enrichment Summer Camps in Metro Atlanta,day,Campers ages 6-14 enjoy an individualized academic program along with recreational activities that make learning feel exciting and achievable. June 8-July 3,https://www.atlantaparent.com/directory/16425/bedford-school-squirrel-hollow-camp/,Atlanta Parent
atlanta-families,2026-02-20,Swift School Summer Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Summer Explorations, Multisensory Math Clinic and Swift Skills for rising K-6th grade blend academics, enrichment, and life skills into fun, confidence-building experiences. June 1-July 17",https://www.atlantaparent.com/directory/15959/swift-school-2/,Atlanta Parent
atlanta-families,2026-02-20,Wealthy Habits Money Smart Camp,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Through fun games and activities, kids ages 11-18 learn earning, budgeting, saving, and investing. June 1-July 23",https://www.atlantaparent.com/directory/15947/wealthy-habits-financial-literacy-programs/,Atlanta Parent
atlanta-families,2026-02-20,Abernathy Arts Center Summer Camp,Art Summer Camps in Metro Atlanta,day,"Ages 6-12 will explore new techniques and create art as they develop their skills in painting, drawing, mixed media, clay and more. June 1-July 24",https://www.atlantaparent.com/directory/69671/abernathy-arts-center-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,The Art Barn,Art Summer Camps in Metro Atlanta,day,"A week of farm-filled fun for ages 5-12! Meet and play with farm friends and create art with paint, clay, mixed media and more. June 1-July 24",https://www.atlantaparent.com/directory/15971/art-barn-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,Camp Carlos at Michael C. Carlos Museum,Art Summer Camps in Metro Atlanta,day,Camp Carlos offers creative and educational half-day camps for ages 7-17 centered on the Museum’s collections. June 1-July 24,https://www.atlantaparent.com/directory/52557/michael-c-carlos-museum-camp-carlos/,Atlanta Parent
atlanta-families,2026-02-20,Doodle Art Studio,Art Summer Camps in Metro Atlanta,day,"Painting, mixed media, clay art, intro to sewing, neon and black light art, and more for ages 5-14",https://www.atlantaparent.com/directory/69107/doodle-art-studio/,Atlanta Parent
atlanta-families,2026-02-20,High Museum of Art,Art Summer Camps in Metro Atlanta,day,"Weekly art camps for K–8th graders feature hands-on projects, gallery tours, and themed adventures like Lost in Space and HogwARTs. June 1-July 31",https://www.atlantaparent.com/directory/15990/high-museum-art-2/,Atlanta Parent
atlanta-families,2026-02-20,La Dee Da Children’s Art Studio,Art Summer Camps in Metro Atlanta,day,"Creative art camps for ages 3-12 include Color Your World, Swiftie, Monster Madness and more explore a variety of art techniques",https://www.atlantaparent.com/directory/69204/la-dee-da-art-studio/,Atlanta Parent
atlanta-families,2026-02-20,Spruill Center for the Arts,Art Summer Camps in Metro Atlanta,day,"Creative, art-filled summer programs with weekly themes for ages 5-10 and focused studio camps for rising 6th-9th graders . May 26-Aug. 8",https://www.atlantaparent.com/directory/16535/spruill-center-arts-2?p=16535,Atlanta Parent
atlanta-families,2026-02-20,Vinings School of Art,Art Summer Camps in Metro Atlanta,day,"Sessions for campers ages 6-13 years include painting, drawing, mosaics, clay and sculpture",https://www.atlantaparent.com/directory/15995/vinings-school-art-3?p=15995,Atlanta Parent
atlanta-families,2026-02-20,Zone of Light Studio,Art Summer Camps in Metro Atlanta,day,"Weekly themed camps with daily activities, art projects, reading and writing, acting and outdoor games. Ages 5-12. May 26-Aug. 7",https://www.atlantaparent.com/directory/15998/zone-light-studios?p=15998,Atlanta Parent
atlanta-families,2026-02-20,Atlanta Dance Theatre,Dance/Music Camps in Metro Atlanta,day,"Dance camps, workshops and intensives for ages 3-14, at all experience levels",https://www.atlantaparent.com/directory/69217/atlanta-dance-theatre/,Atlanta Parent
atlanta-families,2026-02-20,Ballethnic Academy of Dance,Dance/Music Camps in Metro Atlanta,day,"Dance and arts training in ballet, pointe, tap, jazz, African, modern, hip hop, pas de deux, cultural arts, dance history, African drumming and more",https://www.atlantaparent.com/directory/9478/ballethnic-academy-dance/,Atlanta Parent
atlanta-families,2026-02-20,Dance 411 Studios,Dance/Music Camps in Metro Atlanta,day,"Summer dance camp for ages 5-13 includes hip-hop, Afro beats, jazz and musical theater",https://www.atlantaparent.com/directory/69848/dance-411-studios/,Atlanta Parent
atlanta-families,2026-02-20,GSU College of the Arts Summer Music Institute,Dance/Music Camps in Metro Atlanta,day,"Intensive musician training for ages 13-18; tracks include choral, orchestral, jazz and music industry",https://www.atlantaparent.com/directory/56302/georgia-state-university-college-of-the-arts/,Atlanta Parent
atlanta-families,2026-02-20,Mister John’s Music,Dance/Music Camps in Metro Atlanta,day,"Multi-disciplinary arts instruction for ages 5 -10 with dynamic instrument instruction, show choir, creative visual arts and percussion classes. June 8-July 24",https://www.atlantaparent.com/directory/66008/mister-johns-music/,Atlanta Parent
atlanta-families,2026-02-20,Moving in the Spirit,Dance/Music Camps in Metro Atlanta,day,Summer dance camp for ages 7-13 include dance and choreography life skills and performances. Financial aid available,https://www.atlantaparent.com/directory/19138/moving-in-the-spirit-2/,Atlanta Parent
atlanta-families,2026-02-20,Norma’s Academy of Dance,Dance/Music Camps in Metro Atlanta,day,"Explore ballet, jazz, creative movement and musical theater—Once Upon a Twirl, Wickedly Wonderful, summer intensive and morel; ages 5-18. June 15-July 15",https://www.atlantaparent.com/directory/69219/normas-academy-of-dance-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,School of Rock Buckhead,Dance/Music Camps in Metro Atlanta,day,"Learn to play in a band! Themes for ages 5-18 include Rock 101, Classic Rock, Taylor Swift, Rookies Camp and more. May 26-July 31",https://www.atlantaparent.com/directory/72597/school-of-rock-buckhead/,Atlanta Parent
atlanta-families,2026-02-20,Terminus Ballet School,Dance/Music Camps in Metro Atlanta,day,Summer dance intensives for ages 4-19 enrich young artists’ talents in a supportive studio environment. June 8-July 25,https://www.atlantaparent.com/directory/62690/terminus-modern-ballet-theatre-summer-intensives/,Atlanta Parent
atlanta-families,2026-02-20,ZTunes Music,Dance/Music Camps in Metro Atlanta,day,"Campers ages 5-12 learn to jam as a group, learning new instruments and songs and performing for friends and family. June 1-July 31",https://www.atlantaparent.com/directory/72599/ztunes-music-academy/,Atlanta Parent
atlanta-families,2026-02-20,Alliance Theatre Drama Camps,"Drama, Theater and Acting Camps in Metro Atlanta",day,"Creative, acting and drama camps for children ages 4-18. Available at 9 convenient Atlanta locations. May 26-Aug. 7",https://www.atlantaparent.com/directory/16047/alliance-theatre-summer-day-camps?p=16047,Atlanta Parent
atlanta-families,2026-02-20,Atlanta Shakespeare Drama Summer Camps,"Drama, Theater and Acting Camps in Metro Atlanta",day,"Camps for rising grades 3-8, plus intensives for 9-12th grade. Explore improvisation, stage combat, musical theatre and Shakespearean plays. June 1-July 27",https://www.atlantaparent.com/directory/9165/atlanta-shakespeare-company-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,Atlanta Montessori International School,General and Enrichment Camps in Metro Atlanta,day,"Engaging camps for ages 5-11 feature Game Masters, Crazy Contraptions, Freaky Forces, Blowing off STEAM and more",https://www.atlantaparent.com/directory/16233/atlanta-montessori-international-school-2/,Atlanta Parent
atlanta-families,2026-02-20,Big Blue Marble Academy Camps,General and Enrichment Camps in Metro Atlanta,day,"Ages 5-12 can explore music, traveling continents to discover rhythms reflecting culture, history, resilience, and joy. June 1-Aug. 7",https://www.atlantaparent.com/directory/51906/big-blue-marble-academy/,Atlanta Parent
atlanta-families,2026-02-20,Camp Arrowhead,General and Enrichment Camps in Metro Atlanta,day,"Adventure-fueled, Jesus-centered day camp with rope elements, team competitions, theme days and more. June 1-July 31",https://www.atlantaparent.com/directory/47779/camp-arrowhead?p=47779,Atlanta Parent
atlanta-families,2026-02-20,Carrington Academy Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Sports, makerspace, STEAM, science, drama, arts and more for ages 5-11. May 26-July 30",https://www.atlantaparent.com/directory/9566/carrington-academy/,Atlanta Parent
atlanta-families,2026-02-20,Endeavor Montessori,General and Enrichment Camps in Metro Atlanta,day,"Themed summer camps for ages 5-12 include Engaging and educational camp themes include Plant Power, Game Masters, Artistic Inspiration and more",https://www.atlantaparent.com/directory/47776/endeavor-montessori-2/,Atlanta Parent
atlanta-families,2026-02-20,Galloway,General and Enrichment Camps in Metro Atlanta,day,"Choose weekly themes during Galloway at Play, plus specialty camps in science, technology, art and more. PreK-12th grade. May 26-July 24",https://www.atlantaparent.com/directory/16268/galloway-summer-experiences?p=16268,Atlanta Parent
atlanta-families,2026-02-20,Girl Scouts of Greater Atlanta Camp,General and Enrichment Camps in Metro Atlanta,day,"Outdoor adventure, STEM, horses, art, water activities, and more! Day and sleepaway camp options available for girls 5-15. May 31-July 29",https://www.atlantaparent.com/directory/16269/girl-scout-day-camps?p=16269,Atlanta Parent
atlanta-families,2026-02-20,The Haven Academy Summer Camp,General and Enrichment Camps in Metro Atlanta,day,"Academic skill refresh, STEAM, outdoor play, filmmaking, crafts, high school courses and more for ages 5-18. June 8-July 17",https://www.atlantaparent.com/directory/69110/the-haven-academy-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,High Meadows Summer Day Camp,General and Enrichment Camps in Metro Atlanta,day,"Traditional outdoor activities for ages 5-14 including archery, woodworking, crafts, drama, nature, sports and more. June 1-July 31",https://www.atlantaparent.com/directory/16272/high-meadows-summer-day-camp?p=16272,Atlanta Parent
atlanta-families,2026-02-20,Horizons Kids,General and Enrichment Camps in Metro Atlanta,day,"Located in Historic Inman Park offering full – and half-day camps with active indoor and outdoor play, games, arts and crafts and more for ages 5-10",https://www.atlantaparent.com/directory/69460/horizons-kids/,Atlanta Parent
atlanta-families,2026-02-20,In the City Camps,General and Enrichment Camps in Metro Atlanta,day,"Kids’ camps and tween academies for rising PreK-9th grade; form friendships, explore areas of interest, overcome fears and cultivate a love of Judaism",https://www.atlantaparent.com/directory/8867/in-the-city-camp/,Atlanta Parent
atlanta-families,2026-02-20,Josh Powell Summer Camp,General and Enrichment Camps in Metro Atlanta,day,"Kids ages 5-10 can unplug and play during sessions in arts and crafts, fort building, canoeing, swimming, volleyball, archery and more. May 26-Aug. 7",https://www.atlantaparent.com/directory/28898/josh-powell-camp?p=28898,Atlanta Parent
atlanta-families,2026-02-20,Landmark Christian School Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Camps for all ages include academics, arts, athletics and Oasis Summer Adventure camps",https://www.atlantaparent.com/directory/40892/landmark-christian-school-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,Lovett School Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Traditional and specialty camps, including academic courses, fine arts and athletics, and study skills programs. June 1-July 17",https://www.atlantaparent.com/directory/16284/lovett-summer-programs/,Atlanta Parent
atlanta-families,2026-02-20,Marcus Jewish Community Center of Atlanta (MJCCA) Summer Day Camps,General and Enrichment Camps in Metro Atlanta,day,"Traditional outdoor camps for ages 4-14 with boating, rock wall, zip line and more, plus performing arts, sports, theme and teen camps. May 26-July 31",https://www.atlantaparent.com/directory/16287/marcus-jewish-community-center-atlanta-mjcca-summer-day-camps?p=16287,Atlanta Parent
atlanta-families,2026-02-20,Marietta Community School Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Offering a variety of enrichment camps that spark creativity for K-grade 12 – arts, sports, adventure and more",https://www.atlantaparent.com/directory/69080/marietta-community-school/,Atlanta Parent
atlanta-families,2026-02-20,McGinnis Woods School Sunsational Summer,General and Enrichment Camps in Metro Atlanta,day,"“Summer at The Woods” for ages 4-13 with weekly themes and field trips, art, music, STEM, sports, water games and more. May 27-Aug. 1",https://www.atlantaparent.com/directory/16288/mcginnis-woods-country-day-school-sunsational-summer?p=16288,Atlanta Parent
atlanta-families,2026-02-20,Montessori Academy at Sharon Springs,General and Enrichment Camps in Metro Atlanta,day,"Educational and fun camps for ages 5-9 include Blowing off STEAM, Plant Power, Master Chefs, All Ball and more",https://www.atlantaparent.com/directory/16292/montessori-academy-sharon-springs-2/,Atlanta Parent
atlanta-families,2026-02-20,Montessori Academy at Vickery,General and Enrichment Camps in Metro Atlanta,day,"Weekly themes f0r ages 5-9 include All Ball, Game Masters, Artistic Inspiration, Aquatic Adventure and more",https://www.atlantaparent.com/directory/16293/montessori-at-vickery/,Atlanta Parent
atlanta-families,2026-02-20,Oak Grove Academy Camps,General and Enrichment Camps in Metro Atlanta,day,"Fun-filled, enriching camps for ages 4-12 include Aquatic Adventure, Crazy Contraptions, Legendary Creatures, All Ball, Master Chefs and more",https://www.atlantaparent.com/directory/69081/oak-grove-academy-3/,Atlanta Parent
atlanta-families,2026-02-20,Oak Tree Camps,General and Enrichment Camps in Metro Atlanta,day,"Arts and crafts, outdoor activities, STEAM projects, dance sessions, cooking adventures and more for ages 5-14. June 1-July 31",https://www.atlantaparent.com/directory/65453/oak-tree-camps/,Atlanta Parent
atlanta-families,2026-02-20,Oakland Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Ages 6-12 can explore art, history, nature, and science in Oakland Cemetery, one of Atlanta’s most special parks. Atlanta. June 1-July 24",https://www.atlantaparent.com/directory/65834/summer-camps-at-oakland/,Atlanta Parent
atlanta-families,2026-02-20,Pace Academy Summer Programs,General and Enrichment Camps in Metro Atlanta,day,"Academic, athletic, STEAM, visual/performing arts and specialty programs, plus Drivers Ed., SSAT, ACT, and SAT camps for K-12th grade. June 1-July 17",https://www.atlantaparent.com/directory/16300/pace-academy-summer-programs?p=16300,Atlanta Parent
atlanta-families,2026-02-20,Paideia School Summer Camp,General and Enrichment Camps in Metro Atlanta,day,"Creative camps for ages 3-14 include traditional camp, with enriching indoor and outdoor activities, along with a variety of sports camps. June 8-July 17",https://www.atlantaparent.com/directory/16301/paideia-school-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,Parker-Chase Preschool,General and Enrichment Camps in Metro Atlanta,day,"Engaging and educational camps for ages 5-12 include Aquatic Adventure, Game Masters, Crazy Contraptions and more",https://www.atlantaparent.com/directory/55925/parker-chase-preschool/,Atlanta Parent
atlanta-families,2026-02-20,Ready Set FUN!,General and Enrichment Camps in Metro Atlanta,day,An indoor summer camp that keeps kids ages 5-11 active and engaged with fun weekly themes,https://www.atlantaparent.com/directory/66399/ready-set-fun-day-camp/,Atlanta Parent
atlanta-families,2026-02-20,Saint Anne’s Day School Summer Camp,General and Enrichment Camps in Metro Atlanta,day,"Camps for ages 2-7 years emphasize the outdoors, music and movement, arts and crafts, nature, science and summer fun. June 8-July 17",https://www.atlantaparent.com/directory/62829/saint-annes-day-school-summer-camp/,Atlanta Parent
atlanta-families,2026-02-20,St. Benedict’s Episcopal School Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Camps for ages 4-14 include educational, sports-themed, art, STEAM, cooking, drama, gymnastics and more. June 1-July 24",https://www.atlantaparent.com/directory/19194/st-benedicts-episcopal-school-2/,Atlanta Parent
atlanta-families,2026-02-20,Saint Francis Schools Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Basketball, literacy, language arts, math, games, art and more for ages 7-14. July 6-17",https://www.atlantaparent.com/directory/65829/saint-francis-school-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,St. Pius X Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Camps for K-8th graders include basketball, soccer, softball, baseball, dance, wrestling, lacrosse, cheerleading and more. June 1-July 23",https://www.atlantaparent.com/directory/72595/st-pius-x-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,Steve & Kate’s Camp,General and Enrichment Camps in Metro Atlanta,day,"Coding, sewing salon, media lab, robotics, bakery, tinker and more, plus weekly special activities for ages 5-12. June 1-July 24",https://www.atlantaparent.com/directory/38833/steve-and-kates-camp/,Atlanta Parent
atlanta-families,2026-02-20,Sunshine House Next Level Adventure Camp,General and Enrichment Camps in Metro Atlanta,day,"A summer full of excitement with weekly themes, field trips, outdoor play and hands-on activities for ages 5-12. 20 locations. May 26-Aug. 7",https://www.atlantaparent.com/directory/16318/sunshine-houses-summer-challenge/,Atlanta Parent
atlanta-families,2026-02-20,Tech Wreck Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"Diverse experiences for grades 1-8, with sports, arts and crafts, team building, field trips and more. Held on the Georgia Tech Campus",https://www.atlantaparent.com/directory/68580/tech-wreck-summer-camp-at-georgia-tech/,Atlanta Parent
atlanta-families,2026-02-20,Waldorf School of Atlanta Summer Camp,General and Enrichment Camps in Metro Atlanta,day,"Gardening, hiking, cooking, music therapy, chess, LEGO, plants, designer sewing and more for ages 2-18",https://www.atlantaparent.com/directory/16322/waldorf-school-atlanta-summer-camps/,Atlanta Parent
atlanta-families,2026-02-20,Westminster Summer Camps,General and Enrichment Camps in Metro Atlanta,day,"More than 60 unique camps, including traditional day camps, sports camps, and specialty camps for PreK–9th grade. June 1-July 10",https://www.atlantaparent.com/directory/16324/westminster-schools-summer-programs/,Atlanta Parent
atlanta-families,2026-02-20,Woodlands Freestyle Camp,General and Enrichment Camps in Metro Atlanta,day,"Summer camps for ages 5-11 at area churches include worship, devotions, games, activities and more",https://www.atlantaparent.com/directory/69225/woodlands-freestyle-summer-camps/,Atlanta Parent
